CustomerID,CustomerName,Country,Currency,CreditLimit,IsActive,CreatedDate
1,  GRAPHIC LTD  ,GB,CAD,5000,0,2020-03-06
2,Northwind Ltd,US,AUD,100000,0,2021-03-27
3,Litware Metals,DE,GBP,25000,1,2021-03-16
4,  BLUE YONDER HOLDINGS  ,CA,USD,50000,1,2022-02-14
5,Contoso Foods,CA,AUD,5000,1,2023-09-16
6,Adventure Manufacturing,GB,JPY,25000,1,2022-01-28
7,Wingtip Industries,GB,EUR,100000,1,2020-11-30
8,Litware Systems,IE,GBP,5000,1,2024-08-10
9,Northwind Holdings,CA,JPY,50000,0,2020-10-19
10,Tailspin GmbH,JP,JPY,100000,0,2022-01-11
11,Adventure GmbH,US,EUR,10000,0,2023-05-06
12,Contoso Systems,IE,CAD,5000,1,2023-10-28
13,Consolidated Foods,CA,JPY,10000,0,2020-01-07
14,Alpine Group,DE,USD,25000,1,2020-11-09
15,Wingtip GmbH,IE,CAD,25000,0,2020-02-09
16,Contoso Holdings,JP,EUR,100000,1,2020-06-24
17,Alpine Logistics,IE,EUR,50000,1,2021-06-26
18,Coho Metals,IE,AUD,10000,1,2022-03-28
19,Graphic Components,NL,EUR,5000,1,2020-02-13
20,Fourth Foods,GB,USD,10000,1,2020-03-05
21,  CITY POWER HOLDINGS  ,FR,AUD,100000,0,2021-05-12
22,Blue Yonder Logistics,GB,GBP,50000,0,2022-08-14
23,city power group,US,GBP,5000,1,2021-01-27
24,Adventure Foods,JP,USD,50000,1,2020-04-13
25,Graphic Foods,FR,JPY,50000,1,2024-11-05
26,,AU,JPY,25000,0,2023-11-27
27,Alpine Foods,FR,USD,100000,1,2024-03-11
28,  WINGTIP TRADERS  ,IE,CAD,5000,1,2020-05-20
29,Fourth Ltd,GB,CAD,10000,1,2023-06-22
30,Contoso Systems,CA,EUR,25000,1,2021-06-27
31,Proseware GmbH,CA,USD,5000,0,2023-06-26
32,  FOURTH LTD  ,CA,EUR,25000,1,2020-11-19
33,Litware Foods,XX,GBP,5000,1,2021-06-25
34,Contoso Ltd,JP,AUD,25000,1,2023-11-08
35,Graphic Manufacturing,US,JPY,25000,1,2020-01-08
36,Wingtip GmbH,NL,JPY,100000,1,2020-08-17
37,Contoso Group,CA,EUR,50000,1,2020-03-26
38,Tailspin Holdings,US,EUR,10000,1,2021-12-25
39,Blue Yonder Foods,DE,EUR,10000,1,2024-12-10
40,Proseware Traders,AU,AUD,10000,1,2020-11-22
41,blue yonder group,FR,JPY,25000,1,2024-08-07
42,Blue Yonder Industries,AU,USD,25000,1,2023-08-06
43,Coho Systems,CA,USD,25000,1,2023-04-04
44,  TAILSPIN TRADERS  ,CA,CAD,5000,0,2023-03-26
45,  ADVENTURE MANUFACTURING  ,IE,AUD,10000,1,2022-06-02
46,Contoso Components,GB,GBP,100000,1,2023-09-27
47,Proseware Holdings,DE,AUD,50000,1,2023-06-14
48,Fourth Manufacturing,JP,JPY,100000,1,2022-08-10
49,Litware Logistics,DE,GBP,100000,1,2020-07-10
50,City Power Industries,FR,USD,10000,0,2023-06-05
51,City Power Ltd,FR,JPY,50000,0,2021-05-14
52,Fabrikam Components,GB,EUR,10000,0,2020-04-12
53,Coho Industries,DE,AUD,100000,1,2024-03-26
