RateDate,FromCurrency,ToCurrency,Rate
2025-01-01,USD,USD,0.979300
2025-01-01,EUR,USD,1.055782
2025-01-01,GBP,USD,1.245587
2025-01-01,JPY,USD,0.006843
2025-01-01,CAD,USD,0.721638
2025-01-01,AUD,USD,0.660404
2025-01-02,USD,USD,0.997221
2025-01-02,EUR,USD,1.077207
2025-01-02,GBP,USD,1.250337
2025-01-02,JPY,USD,0.006522
2025-01-02,CAD,USD,0.718143
2025-01-02,AUD,USD,0.669834
2025-01-03,USD,USD,0.996197
2025-01-03,EUR,USD,1.047778
2025-01-03,GBP,USD,1.237310
2025-01-03,JPY,USD,0.006536
2025-01-03,CAD,USD,0.744388
2025-01-03,AUD,USD,0.654653
2025-01-04,USD,USD,0.983778
2025-01-04,EUR,USD,1.088401
2025-01-04,GBP,USD,1.287837
2025-01-04,JPY,USD,0.006849
2025-01-04,CAD,USD,0.720289
2025-01-04,AUD,USD,0.645953
2025-01-05,USD,USD,0.971924
2025-01-05,EUR,USD,1.064776
2025-01-05,GBP,USD,1.279760
2025-01-05,JPY,USD,0.006730
2025-01-05,CAD,USD,0.720856
2025-01-05,AUD,USD,0.652991
2025-01-06,USD,USD,1.016743
2025-01-06,EUR,USD,1.059935
2025-01-06,GBP,USD,1.250783
2025-01-06,JPY,USD,0.006595
2025-01-06,CAD,USD,0.734153
2025-01-07,USD,USD,1.019178
2025-01-07,EUR,USD,1.097565
2025-01-07,GBP,USD,1.266112
2025-01-07,CAD,USD,0.760720
2025-01-07,AUD,USD,0.672629
2025-01-08,USD,USD,1.007344
2025-01-08,EUR,USD,1.099764
2025-01-08,GBP,USD,1.279722
2025-01-08,JPY,USD,0.006680
2025-01-08,CAD,USD,0.734702
2025-01-09,USD,USD,1.006258
2025-01-09,EUR,USD,1.110318
2025-01-09,GBP,USD,1.290077
2025-01-09,JPY,USD,0.006639
2025-01-09,CAD,USD,0.721528
2025-01-09,AUD,USD,0.647692
2025-01-10,USD,USD,1.005331
2025-01-10,GBP,USD,1.277784
2025-01-10,JPY,USD,0.006516
2025-01-10,CAD,USD,0.745749
2025-01-10,AUD,USD,0.672990
2025-01-11,USD,USD,0.982158
2025-01-11,EUR,USD,1.090624
2025-01-11,JPY,USD,0.000000
2025-01-11,CAD,USD,0.741687
2025-01-11,AUD,USD,0.666041
2025-01-12,USD,USD,1.004858
2025-01-12,EUR,USD,1.096854
