LineID,InvoiceID,LineNumber,GLAccountID,Quantity,UnitPrice
1,1,1,4018,1,193.69
2,1,2,4008,6,385.76
3,2,1,4013,33,1320.39
4,2,2,4011,49,1458.03
5,2,3,4000,10,426.96
6,3,1,4020,-32,148.98
7,3,2,4006,19,349.56
8,4,1,4006,12,229.37
9,4,2,4013,4,1620.27
10,4,3,4009,29,1252.60
11,4,4,4015,6,560.76
12,5,1,4018,44,28.92
13,5,2,4008,3,
14,5,3,4010,32,680.69
15,5,4,4001,21,1882.57
16,6,1,4004,22,16.14
17,6,2,4007,2,1739.32
18,6,3,4006,24,1375.51
19,7,1,4001,41,
20,8,1,4002,44,1217.46
21,8,2,4003,23,1863.65
22,8,3,4018,47,1218.28
23,9,1,4017,3,1595.67
24,9,2,4007,30,898.11
25,9,3,4013,16,1508.97
26,9,4,4008,-46,1858.72
27,9,5,4004,15,1335.21
28,10,1,4018,41,189.98
29,10,2,4012,50,138.69
30,10,3,4007,42,1128.18
31,10,4,4006,17,184.48
32,10,5,4012,48,1149.95
33,11,1,4013,-48,133.15
34,11,2,4019,21,1597.06
35,11,3,4004,38,796.67
36,11,4,4004,19,1004.67
37,11,5,4009,48,1604.57
38,12,1,4006,45,1993.73
39,12,2,4004,32,1933.33
40,12,3,4001,46,1467.99
41,12,4,4005,50,980.13
42,12,5,4012,2,681.45
43,13,1,4017,5,573.25
44,13,2,4001,26,653.60
45,13,3,4015,46,1312.72
46,13,4,4020,19,427.44
47,14,1,4004,24,1155.61
48,15,1,4015,28,344.76
49,15,2,4013,12,243.52
50,15,3,4015,10,813.95
51,15,4,4002,20,1909.57
52,888052,1,4003,42,1268.34
53,16,2,4018,6,1286.40
54,16,3,4018,37,964.20
55,16,4,4004,12,1999.91
56,17,1,4000,21,1818.67
57,18,1,4018,36,1569.11
58,18,2,4003,35,1582.23
59,18,3,4010,12,
60,18,4,4008,8,1154.41
61,19,1,4013,6,1017.24
62,20,1,4017,16,1892.97
63,21,1,4011,9,1393.25
64,21,2,4007,39,427.58
65,21,3,4019,3,606.42
66,21,4,4002,36,724.54
67,22,1,4008,17,1303.04
68,22,2,4008,44,1392.09
69,22,3,4016,41,393.33
70,22,4,4012,39,1644.92
71,22,5,4017,2,502.52
72,23,1,4004,5,187.06
73,23,2,4003,15,204.91
74,23,3,4015,8,1459.37
75,23,4,4019,7,1403.91
76,24,1,4017,4,1893.56
77,25,1,4016,39,811.28
78,25,2,4001,46,261.47
79,25,3,4013,47,746.60
80,25,4,4009,46,883.53
81,25,5,4007,18,1045.98
82,26,1,4002,41,1895.43
83,26,2,4001,41,1462.61
84,26,3,4013,6,1112.78
85,27,1,4017,47,1000.63
86,27,2,4000,45,37.66
87,27,3,4016,46,1073.31
88,27,4,4016,44,1218.67
89,27,5,4001,15,740.43
90,28,1,4007,32,752.83
91,28,2,4008,35,1717.03
92,28,3,4020,-14,1266.04
93,28,4,4015,33,80.50
94,29,1,4011,-23,926.10
95,30,1,4016,26,211.66
96,30,2,4008,10,
97,31,1,4008,31,605.58
98,31,2,4013,7,1316.00
99,32,1,4004,23,1421.35
100,33,1,4015,27,1802.99
101,33,2,4004,43,246.40
102,33,3,4012,21,1562.87
103,33,4,4016,9,
104,34,1,4019,50,113.56
105,35,1,4019,28,571.62
106,36,1,4007,47,506.44
107,36,2,4016,43,404.84
108,37,1,4003,12,1711.20
109,37,2,4000,9,554.98
110,37,3,4020,40,1730.06
111,37,4,4001,15,857.89
112,37,5,4007,20,733.52
113,38,1,4009,4,11.07
114,38,2,4015,31,1216.98
115,38,3,4004,24,231.94
116,39,1,4011,24,729.16
117,39,2,4004,16,427.97
118,39,3,4020,41,249.51
119,40,1,4010,13,1851.75
120,40,2,4001,20,1979.39
