PaymentID,InvoiceID,PaymentDate,Amount,Currency,PaymentMethod
1,1,2025-10-16,1431.91,CAD,Check
2,2,2025-10-17,86283.86,CAD,Check
3,4,2025-01-10,44670.51,AUD,SEPA
4,5,2025-12-08,53527.62,CAD,Check
5,6,2025-06-25,23997.73,GBP,Wire
6,7,2025-05-04,0.00,USD,SEPA
7,8,2025-09-30,125500.75,EUR,Check
8,9,2025-05-28,75546.45,CAD,Check
9,10,2025-11-06,64748.56,EUR,Card
10,11,2025-07-25,109221.60,JPY,Card
11,12,2026-02-09,244336.23,AUD,SEPA
12,13,2025-02-11,74823.39,USD,Wire
13,14,2025-08-23,21857.53,USD,Wire
14,15,2025-04-04,31364.18,AUD,Wire
15,16,2025-04-05,42216.38,CAD,Wire
16,17,2025-07-25,23729.65,USD,SEPA
17,18,2025-07-02,76581.40,AUD,Check
18,19,2025-06-14,4744.33,AUD,Check
19,20,2025-11-28,21877.59,CAD,Card
20,21,2025-11-15,51710.10,GBP,Wire
21,22,2025-09-10,111425.71,GBP,ACH
22,24,2025-03-24,3216.66,JPY,SEPA
23,25,2025-11-29,135423.55,JPY,Card
24,28,2025-06-24,53190.10,AUD,Wire
25,29,2025-07-10,0.00,AUD,
26,31,2025-03-27,16367.72,AUD,Wire
27,32,2025-03-23,28316.12,GBP,Wire
28,33,2026-01-10,77644.92,AUD,SEPA
29,34,2025-07-27,3441.11,GBP,Check
30,35,2025-04-08,8325.52,USD,Wire
31,37,2025-11-18,119187.54,JPY,SEPA
32,38,2025-06-14,38525.04,AUD,Check
33,39,2025-07-04,24242.76,EUR,Wire
34,40,2025-09-12,44653.38,JPY,Card
35,41,2025-11-12,26809.07,AUD,Check
36,42,2025-03-20,92642.94,USD,Check
37,43,2025-06-13,50044.92,JPY,SEPA
38,44,2025-10-03,31950.67,JPY,
39,45,2025-05-03,20844.35,EUR,Check
40,46,2025-12-03,105807.19,USD,ACH
41,47,2026-01-08,26034.76,JPY,SEPA
42,48,2025-01-31,35666.21,EUR,Card
43,49,2025-12-22,1597.24,GBP,ACH
44,50,2025-06-16,41617.19,JPY,Check
45,53,2025-12-31,5119.33,GBP,
46,54,2025-10-14,51163.97,JPY,SEPA
47,55,2026-10-22,1880.80,GBP,Wire
48,56,2025-04-01,92799.95,GBP,Wire
49,58,2025-04-12,24097.93,JPY,Card
50,59,2025-04-28,50812.32,GBP,SEPA
51,61,2025-12-07,124738.53,GBP,Check
52,62,2025-08-25,15486.66,EUR,SEPA
53,63,2025-09-27,76305.35,JPY,Wire
54,64,2025-04-09,60356.50,USD,Check
55,65,2025-08-21,123786.16,AUD,Card
56,66,2025-08-04,11044.24,AUD,Wire
57,67,2025-08-16,49111.50,AUD,Card
58,68,2025-11-28,72369.95,EUR,Card
59,69,2025-08-03,22481.64,USD,SEPA
60,70,2025-07-16,85466.22,CAD,Wire
61,71,2025-06-12,12380.93,USD,SEPA
62,72,2025-10-28,55695.05,GBP,SEPA
63,73,2025-12-21,50583.56,JPY,Check
64,74,2025-03-20,21779.61,JPY,SEPA
65,75,2025-06-22,13097.71,CAD,Card
66,76,2025-04-02,52838.30,AUD,Wire
67,77,2025-05-27,52395.75,EUR,Card
68,78,2025-07-23,11918.64,CAD,Wire
69,82,2025-07-28,97753.62,USD,Wire
70,83,2025-07-12,6854.55,CAD,Card
71,84,2025-05-03,2331.49,EUR,
72,86,2025-12-02,39290.23,USD,Card
73,87,2025-12-04,10863.08,EUR,SEPA
74,88,2025-10-10,32338.18,AUD,SEPA
75,89,2026-01-28,70811.92,AUD,ACH
76,90,2025-09-18,7287.42,EUR,Wire
77,91,2025-07-02,68779.21,GBP,
78,92,2025-03-21,17380.51,USD,SEPA
79,94,2025-06-29,18401.85,CAD,SEPA
80,95,2025-01-25,3798.59,JPY,Check
81,96,2025-07-31,13890.73,CAD,Wire
82,97,2025-02-26,78676.66,AUD,Card
83,98,2025-02-20,49010.19,EUR,Card
84,99,2025-08-29,63551.28,GBP,ACH
85,100,2025-07-29,44720.31,CAD,ACH
86,101,2025-12-10,111168.43,USD,Check
87,102,2025-09-18,8561.04,CAD,SEPA
88,104,2025-09-28,32518.49,GBP,Card
89,105,2025-07-11,1212.59,CAD,ACH
90,106,2026-01-06,51986.31,GBP,Wire
91,107,2025-09-14,38081.04,CAD,Card
92,109,2025-08-25,43572.92,JPY,SEPA
93,110,2025-02-21,92301.98,CAD,SEPA
94,111,2025-08-18,136952.92,CAD,Card
95,113,2025-05-29,35703.72,GBP,Card
96,114,2026-01-30,72162.79,CAD,SEPA
97,115,2026-01-09,80762.11,JPY,SEPA
98,116,2025-07-09,32719.85,USD,Wire
99,117,2025-06-03,163777.76,CAD,Check
100,118,2025-06-21,16938.10,CAD,Card
101,119,2025-10-25,90876.67,USD,Check
102,120,2025-03-02,48339.75,CAD,Wire
103,121,2025-10-11,39217.83,GBP,Wire
104,122,2025-03-28,8300.28,AUD,ACH
105,123,2025-08-25,122206.34,USD,ACH
106,125,2025-06-01,84509.86,CAD,Check
107,126,2025-10-19,81151.03,USD,
108,127,2025-12-20,67920.01,AUD,SEPA
109,129,2025-06-27,43673.50,EUR,Card
110,130,2025-01-08,44132.66,JPY,Card
111,131,2025-07-30,15007.32,USD,SEPA
112,132,2025-05-04,0.00,GBP,Card
113,133,2026-01-16,4955.47,AUD,Check
114,134,2025-05-05,60108.11,JPY,Wire
115,135,2025-10-14,162360.83,EUR,Wire
116,136,2025-02-15,29928.39,GBP,Card
117,137,2025-02-18,9114.59,EUR,Wire
118,138,2025-10-18,53314.45,AUD,SEPA
119,139,2025-09-27,2476.15,CAD,Wire
120,140,2025-11-04,50915.16,AUD,ACH
121,142,2025-10-28,57132.63,USD,SEPA
122,143,2025-04-06,66633.65,AUD,SEPA
